file,name,format,subversion,hota_version,size,underground,players_human,players_total,difficulty,victory,object_count,object_detail,definition_count,terrain_variety,water_percent,road_tiles,river_tiles,design_signals,towns,heroes,monsters,economy,artifacts,dwellings,quests,events,travel,banks
Gelea's Champions (Allies).h3m,Gelea's Champions (Allies),AB,,,72,True,2,5,1,standard conquest,2726,exact,650,7,30.8,299,281,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,11,0,61,250,35,28,3,13,9,10
Gelea's Champions.h3m,Gelea's Champions,AB,,,72,True,2,5,1,standard conquest,2724,exact,650,7,30.8,298,278,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,11,0,61,248,35,28,3,13,9,10
Goblins in the Pantry.h3m,Goblins in the Pantry,SoD,,,72,False,3,3,1,flag all dwellings,1660,exact,413,5,17.7,120,167,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,9,0,45,181,28,13,6,0,6,6
Golems Aplenty Allied.h3m,Golems Aplenty (Allies),SoD,,,72,True,4,4,1,standard conquest,2099,exact,373,5,0.0,0,190,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,5,0,78,318,30,18,0,7,12,13
Golems Aplenty.h3m,Golems Aplenty,SoD,,,72,True,4,4,1,standard conquest,2099,exact,373,5,0.0,0,190,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,5,0,78,318,30,18,0,7,12,13
Good to Go.h3m,Good to Go,RoE,,,36,False,2,4,1,standard conquest,413,exact,138,2,0.0,0,0,scripted storytelling,4,6,18,33,15,0,0,0,0,0
"Good Witch, Bad Witch.h3m","Good Witch, Bad Witch",SoD,,,108,False,1,2,3,defeat a hero,2831,exact,591,6,45.0,455,156,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,5,4,34,228,14,13,11,23,13,17
Gorlam's Tentacle Swampland.h3m,Gorlam's Tentacle Swampland,SoD,,,72,True,2,2,1,flag all mines,1193,exact,270,4,22.1,125,15,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,2,0,44,147,14,7,4,6,13,8
Hatchet Axe and Saw.h3m,"Hatchet, Axe and Saw",SoD,,,72,False,2,2,1,flag all dwellings,1521,exact,325,3,5.2,279,54,quest-gated progression; travel-network routing; scripted storytelling; special objective,4,0,33,185,16,14,4,1,12,0
Heroes of Might not Magic Allied.h3m,"Heroes of Might, Not Magic (A)",SoD,,,72,True,6,6,1,standard conquest,2770,exact,431,7,0.0,191,37,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,7,7,133,553,14,0,18,0,16,13
Heroes of Might not Magic.h3m,"Heroes of Might, Not Magic",SoD,,,72,True,6,6,1,standard conquest,2770,exact,431,7,0.0,191,37,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,7,7,133,553,14,0,18,0,16,13
Hoard(Allies).h3m,Hoard (Allies),AB,,,72,True,3,4,1,standard conquest,2549,exact,445,8,7.8,419,80,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,12,10,77,500,5,51,3,0,14,8
Hoard.h3m,Hoard,AB,,,72,True,3,4,1,standard conquest,2549,exact,445,8,7.8,419,80,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,12,10,77,500,5,51,3,0,14,8
Hold the middle.h3m,Holding the Middle,AB,,,72,True,4,4,1,build a town,1967,exact,358,8,3.5,222,141,two-layer exploration; travel-network routing; scripted storytelling; special objective; risk/reward encounters,5,0,76,276,34,18,0,0,17,7
Irrational Hostility.h3m,Irrational Hostility,AB,,,36,True,4,4,1,standard conquest,840,exact,176,4,0.0,35,52,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,5,0,44,173,11,4,2,2,10,2
Island King Allied.h3m,Island King (Allies),SoD,,,108,False,7,7,2,standard conquest,2937,exact,562,9,41.7,211,64,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,9,8,84,342,41,0,6,0,26,49
Island King.h3m,Island King,SoD,,,108,False,7,7,2,standard conquest,2937,exact,562,9,41.7,211,64,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,9,8,84,342,41,0,6,0,26,49
Island of Fire.h3m,Island of Fire,RoE,,,72,True,1,1,1,beatmonster,2106,exact,419,8,13.3,232,71,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,3,0,63,172,20,7,2,4,7,3
Islands and Caves.h3m,Islands and Caves,RoE,,,108,True,4,6,2,standard conquest,2885,exact,363,6,29.1,0,30,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,16,0,104,299,51,5,0,0,29,4
Jihad.h3m,Jihad,AB,,,36,True,7,7,1,standard conquest,842,exact,199,2,0.0,150,0,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,7,0,96,71,29,0,0,1,30,16
Judgement Day.h3m,Judgment Day,RoE,,,36,False,2,3,1,acquire an artifact,303,exact,113,2,0.0,0,132,travel-network routing; scripted storytelling; special objective; risk/reward encounters,3,1,2,52,1,7,0,0,12,2
Just A Visit.h3m,Just A Visit,SoD,,,72,False,3,4,3,standard conquest,1113,exact,264,5,19.6,282,26,meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,9,3,63,180,17,0,0,9,4,16
Key to Victory.h3m,Key to Victory,RoE,,,36,True,1,2,0,standard conquest,740,exact,217,3,0.0,0,91,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling,2,1,31,82,9,1,5,0,4,0
King of Pain.h3m,King of Pain,SoD,,,72,False,3,3,1,standard conquest,1657,exact,401,4,0.0,448,192,quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,5,0,60,204,35,0,11,0,4,4
Kingdom for sale(allies).h3m,Kingdom for Sale (Allies),AB,,,108,False,4,5,1,standard conquest,3700,exact,486,7,26.6,157,139,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,21,1,97,391,40,0,14,14,9,16
Kingdom for sale.h3m,Kingdom for Sale,AB,,,108,False,4,5,1,standard conquest,3700,exact,486,7,26.6,157,139,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,21,1,97,391,40,0,14,14,9,16
Knee Deep in the Dead.h3m,Knee Deep in the Dead,RoE,,,36,False,1,2,2,standard conquest,413,exact,210,4,5.9,0,38,quest-gated progression; scripted storytelling; risk/reward encounters,2,2,25,54,9,9,2,2,0,1
Knight of Darkness.h3m,Knight of Darkness,RoE,,,72,True,1,4,1,capture a town,2073,exact,559,10,19.0,417,184,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,4,0,36,210,16,17,8,0,8,4
Land of Titans (Allied).h3m,Land of Titans (Allies),AB,,,108,True,4,4,1,beatmonster,4032,exact,532,8,10.2,127,191,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,8,0,110,443,30,6,4,8,13,24
Land of Titans.h3m,Land of Titans,AB,,,108,True,4,4,1,beatmonster,4032,exact,530,8,10.2,127,191,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,8,0,110,443,30,6,4,8,13,24
Last Chance Allies.h3m,Last Chance (Allies),SoD,,,36,True,4,4,1,standard conquest,397,exact,192,7,0.0,141,0,two-layer exploration; travel-network routing; scripted storytelling,4,0,28,61,12,0,0,0,4,0
Last Chance.h3m,Last Chance,SoD,,,36,True,4,4,1,standard conquest,397,exact,192,7,0.0,141,0,two-layer exploration; travel-network routing; scripted storytelling,4,0,28,61,12,0,0,0,4,0
Loss of Innocence(Allies).h3m,Loss of Innocence (Allies),AB,,,108,False,4,6,1,standard conquest,3414,exact,308,2,21.3,31,198,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,16,1,113,427,21,12,8,2,10,9
Loss of Innocence.h3m,Loss of Innocence,AB,,,108,False,4,6,1,standard conquest,3416,exact,307,2,21.3,31,198,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,16,1,113,428,21,12,8,2,10,9
Manifest Destiny.h3m,Manifest Destiny,RoE,,,36,True,8,8,2,flag all mines,869,exact,254,5,0.8,0,217,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,8,0,40,112,24,0,1,0,2,16
Marshland Menace.h3m,Marshland Menace,SoD,,,72,True,4,5,4,standard conquest,1220,exact,453,10,24.5,599,182,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,14,1,66,136,21,9,6,0,18,3
Meeting in Muzgob(Allies).h3m,Meeting in Muzgob (Allies),AB,,,108,False,6,8,1,standard conquest,3269,exact,424,5,23.5,625,121,meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,13,3,144,451,30,5,7,0,10,20
Meeting in Muzgob.h3m,Meeting in Muzgob,AB,,,108,False,6,8,1,standard conquest,3271,exact,424,5,23.5,625,121,meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,13,3,143,452,30,5,7,0,10,20
Merchant Princes Allied.h3m,Merchant Princes (Allies),SoD,,,72,False,3,4,1,standard conquest,1156,exact,325,5,37.0,293,129,meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,11,0,55,212,23,26,0,0,16,4
Merchant Princes.h3m,Merchant Princes,SoD,,,72,False,3,4,1,standard conquest,1156,exact,325,5,37.0,293,129,meaningful naval space; travel-network routing; scripted storytelling; risk/reward encounters,11,0,55,212,23,26,0,0,16,4
Middletown.h3m,Middletown,RoE,,,108,True,2,4,2,capture a town,2739,exact,533,9,18.2,220,192,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,7,0,90,397,28,36,4,10,21,21
Monk's Retreat Allied.h3m,Monk's Retreat (Allies),SoD,,,108,True,6,6,1,standard conquest,3968,exact,540,8,12.7,321,117,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,10,0,143,661,49,15,2,9,14,24
Monk's Retreat.h3m,Monk's Retreat,SoD,,,108,True,6,6,1,standard conquest,3968,exact,540,8,12.7,321,117,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,10,0,143,661,49,15,2,9,14,24
Myth and Legend.h3m,Myth and Legend,RoE,,,144,True,5,8,1,acquire an artifact,7009,exact,548,10,36.3,469,383,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,21,22,222,836,117,35,3,116,31,12
Noahs Ark.h3m,Noah's Ark,RoE,,,108,True,2,3,1,flag all dwellings,2627,exact,357,6,23.9,75,39,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; special objective; risk/reward encounters,3,0,126,418,21,14,0,14,25,13
One Bad Day - Allied.h3m,One Bad Day (Allies),SoD,,,72,False,4,4,2,standard conquest,1393,exact,356,7,4.5,49,133,quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,6,0,69,187,12,1,4,7,12,10
Overthrow Thy Neighbors.h3m,Overthrow Thy Neighbors,RoE,,,72,True,3,3,1,flag all mines,1676,exact,468,9,10.6,116,0,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,4,1,80,275,28,8,1,12,16,7
Pandora's Box .h3m,Pandora's Box,AB,,,144,True,5,5,1,capture a town,6479,exact,627,9,35.9,737,393,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,28,40,193,1456,33,102,19,91,32,26
Peaceful Ending - Allied.h3m,Peaceful Ending (Allies),SoD,,,108,True,6,6,2,standard conquest,3299,exact,456,7,0.9,929,98,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,10,2,123,488,30,16,21,0,20,24
Peaceful Ending.h3m,Peaceful Ending,SoD,,,108,True,6,6,2,standard conquest,3299,exact,456,7,0.9,929,98,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,10,2,123,488,30,16,21,0,20,24
Peacemaker.h3m,Peacemaker,RoE,,,72,False,5,5,1,capture a town,1228,exact,251,4,37.9,148,111,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,6,2,70,221,29,12,8,2,15,8
Pestilence Lake Allies.h3m,Pestilence Lake (Allies),SoD,,,108,False,2,3,4,standard conquest,2216,exact,404,6,4.1,644,392,quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,14,1,84,152,26,0,2,7,12,17
Pestilence Lake.h3m,Pestilence Lake,SoD,,,108,False,2,3,4,standard conquest,2216,exact,405,6,4.1,644,392,quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,14,1,84,152,26,0,2,7,12,17
Pirates.h3m,Pirates!,RoE,,,72,False,1,5,1,standard conquest,855,exact,223,3,52.2,380,31,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,5,1,39,130,13,14,2,2,11,4
Race for Ardintinny.h3m,Race for Ardintinny,RoE,,,144,True,5,5,1,capture a town,3631,exact,710,10,30.5,370,315,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,6,8,90,564,31,14,12,16,25,27
Race for the Town.h3m,Rithen Falls,SoD,,,72,False,1,5,1,capture a town,1615,exact,375,5,0.0,164,30,quest-gated progression; travel-network routing; special objective; risk/reward encounters,6,5,55,212,28,0,7,0,8,23
Ready or Not.h3m,Ready or Not,AB,,,72,True,3,3,1,standard conquest,1679,exact,528,7,11.5,0,286,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,6,0,56,116,24,6,12,1,10,6
Realm of Chaos.h3m,Realm of Chaos,RoE,,,72,True,8,8,1,standard conquest,3030,exact,776,10,24.3,911,181,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,8,0,79,539,35,33,4,11,16,25
Realm of ChaosA.h3m,Realm of Chaos (Allies),RoE,,,72,True,8,8,1,standard conquest,3030,exact,776,10,24.3,911,181,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,8,0,79,539,35,33,4,11,16,25
Rebellion.h3m,Rebellion,RoE,,,72,False,3,3,1,build the Grail,1336,exact,444,7,8.7,385,191,scripted storytelling; special objective; risk/reward encounters,4,0,33,132,15,7,0,1,0,5
Reclamation Allied.h3m,Reclamation (Allies),SoD,,,144,False,7,7,1,standard conquest,4686,exact,619,8,34.4,439,93,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,21,15,151,680,18,0,7,2,15,20
Reclamation.h3m,Reclamation,SoD,,,144,False,7,7,1,standard conquest,4686,exact,619,8,34.4,439,93,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,21,15,151,680,18,0,7,2,15,20
Rediscovery.h3m,Rediscovery,AB,,,72,True,4,4,1,standard conquest,3464,exact,497,9,14.4,614,257,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,14,0,120,454,28,2,4,0,10,13
Resource War Allies.h3m,Resource War (Allies),SoD,,,72,True,6,6,2,standard conquest,1266,exact,407,10,0.1,63,65,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,10,0,52,78,12,0,0,0,8,3
Resource War.h3m,Resource War,SoD,,,72,True,6,6,2,standard conquest,1266,exact,407,10,0.1,63,65,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,10,0,52,78,12,0,0,0,8,3
Rise of the Phoenix Allied.h3m,Rise of the Phoenix (Allies),SoD,,,108,True,4,4,1,beatmonster,3811,exact,455,7,1.1,165,363,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,8,1,127,564,54,42,4,1,25,25
Rise of the Phoenix.h3m,Rise of the Phoenix,SoD,,,108,True,4,4,1,beatmonster,3811,exact,455,7,1.1,165,363,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,8,1,127,564,54,42,4,1,25,25
Rumble in the Bogs.h3m,Rumble in the Bogs,RoE,,,72,True,2,5,1,standard conquest,1603,exact,328,6,12.2,50,127,two-layer exploration; travel-network routing; scripted storytelling,9,0,65,109,30,4,0,1,12,0
Rumble in the BogsA.h3m,Rumble in the Bogs (Allies),RoE,,,72,True,4,5,1,standard conquest,1603,exact,328,6,12.2,50,127,two-layer exploration; travel-network routing; scripted storytelling,9,0,65,109,30,4,0,1,12,0
Sands of Blood.h3m,Sands of Blood,AB,,,36,True,4,4,1,standard conquest,575,exact,197,3,0.0,0,0,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,4,0,44,16,24,1,0,0,10,8
Sangraal's Thief Allied.h3m,Sangraal's Thief (Allies),SoD,,,72,True,6,7,1,build the Grail,2787,exact,474,6,0.0,187,29,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,8,10,147,414,41,0,11,0,18,21
Sangraal's Thief.h3m,Sangraal's Thief,SoD,,,72,True,7,7,1,build the Grail,2787,exact,474,6,0.0,187,29,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,8,10,147,414,41,0,11,0,18,21
Search for the Grail.h3m,Search For The Grail,RoE,,,72,True,1,4,2,build the Grail,1277,exact,305,5,24.0,292,97,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,4,1,22,167,11,5,4,0,12,8
Serpents Treasure.h3m,Serpent's Treasure,RoE,,,144,True,2,7,2,assemble creatures,3415,exact,544,10,21.2,451,400,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,11,1,134,766,58,66,8,2,31,21
Shadow Valleys.h3m,Shadow Valleys,SoD,,,72,True,4,5,2,standard conquest,1090,exact,339,7,0.0,481,51,two-layer exploration; travel-network routing; scripted storytelling; risk/reward encounters,8,1,85,104,12,6,0,8,6,10
South of Hell (Allies).h3m,South of Hell (Allies),AB,,,108,True,2,3,1,standard conquest,3294,exact,382,7,12.6,330,134,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,11,2,90,357,42,20,4,7,21,17
South of Hell.h3m,South of Hell,AB,,,108,True,2,3,2,standard conquest,3316,exact,382,7,12.7,363,134,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,11,2,85,381,42,21,4,7,21,17
Southern Cross.h3m,Southern Cross,RoE,,,108,True,4,5,1,capture a town,2820,exact,470,7,32.4,119,56,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; special objective,9,1,62,101,38,0,0,0,24,0
Step by Step (Allies).h3m,Step by Step (Allies),AB,,,72,True,6,6,1,standard conquest,2655,exact,360,6,8.6,250,106,two-layer exploration; quest-gated progression; travel-network routing; risk/reward encounters,15,0,114,354,20,0,7,0,13,12
Step by Step.h3m,Step by Step,AB,,,72,True,6,6,1,standard conquest,2656,exact,360,6,8.6,250,106,two-layer exploration; quest-gated progression; travel-network routing; risk/reward encounters,15,0,114,354,20,0,7,0,13,12
Tale of two lands (Allies).h3m,Tale of Two Lands (Allies),AB,,,144,True,4,4,1,standard conquest,5340,exact,650,10,17.3,310,294,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,8,0,176,697,72,41,5,6,16,31
Tale of two lands.h3m,Tale of Two Lands,AB,,,144,True,4,4,1,standard conquest,5340,exact,650,10,17.3,310,294,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,8,0,176,697,72,41,5,6,16,31
Terrible Rumor.h3m,A Terrible Rumor,SoD,,,36,True,3,6,1,standard conquest,792,exact,289,7,0.0,147,0,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,8,7,46,148,7,1,6,0,12,7
The Battle of Daeyan's Ford.h3m,The Battle of Daeyan's Ford,SoD,,,108,True,6,6,1,standard conquest,3642,exact,536,7,2.4,1084,141,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,17,0,73,374,42,4,17,0,15,15
The Challenge.h3m,The Challenge,AB,,,72,False,2,3,1,build the Grail,2150,exact,397,7,23.2,247,102,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,8,1,51,147,12,11,6,6,10,9
The Five Rings.h3m,The Five Rings,RoE,,,108,True,1,6,3,capture a town,3591,exact,683,8,9.8,1327,367,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,6,0,30,338,27,43,2,15,18,14
The Gauntlet.h3m,The Gauntlet,AB,,,108,True,1,6,3,standard conquest,3483,exact,756,10,17.1,306,180,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,10,17,78,422,37,18,16,10,10,22
The Great Race.h3m,The Great Race,SoD,,,72,False,4,4,2,capture a town,1935,exact,440,5,0.0,163,32,quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,6,4,78,243,30,0,17,1,8,22
The Mandate of Heaven.h3m,The Mandate of Heaven,RoE,,,144,True,1,5,3,capture a town,4483,exact,841,10,22.1,687,165,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,12,1,119,315,28,32,12,57,27,12
The Newcomers.h3m,The Newcomers,AB,,,36,True,3,4,2,standard conquest,1258,exact,391,8,8.8,0,70,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,12,9,47,175,9,3,11,16,8,4
Thousand Islands (allies).h3m,Thousand Islands (Allies),AB,,,144,False,6,7,1,defeat a hero,4490,exact,543,8,60.5,0,15,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,14,8,111,645,62,6,21,0,49,108
Thousand Islands.h3m,Thousand Islands,AB,,,144,False,3,4,1,defeat a hero,4492,exact,542,8,60.5,0,15,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,14,8,111,645,62,5,21,0,49,108
Time's Up.h3m,Times Up,AB,,,36,True,7,7,2,standard conquest,1193,exact,281,6,0.0,0,0,two-layer exploration; quest-gated progression; travel-network routing,7,0,21,153,5,0,15,0,2,0
Titans Winter archer.h3m,Titan's Winter,HotA,5,,108,False,3,6,2,standard conquest,3387,exact,395,4,20.5,413,174,meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,11,1,74,398,10,20,3,0,2,6
Titans Winter.h3m,Titan's Winter,RoE,,,108,False,3,6,2,standard conquest,3387,exact,394,4,20.5,413,174,meaningful naval space; quest-gated progression; travel-network routing; risk/reward encounters,11,0,74,398,10,20,3,0,2,6
Too Many Monsters.h3m,Too Many Monsters,SoD,,,36,False,4,4,1,flag all dwellings,605,exact,217,5,0.0,94,0,quest-gated progression; scripted storytelling; special objective,4,4,46,83,4,11,1,0,0,0
Tovar's Fortress (Allies).h3m,Tovar's Fortress (Allies),AB,,,72,True,4,5,1,capture a town,2433,exact,525,9,3.7,80,160,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,7,3,56,217,20,13,6,4,9,9
Tovar's Fortress.h3m,Tovar's Fortress,AB,,,72,True,4,5,1,capture a town,2433,exact,525,9,3.7,80,160,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,7,3,56,217,20,13,6,4,9,9
Treasure Hunt.h3m,Treasure Hunt,AB,,,72,False,3,3,1,flag all mines,2088,exact,348,5,42.3,0,67,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,3,3,47,157,4,1,23,0,22,17
Twins.h3m,Twins,AB,,,36,True,2,2,1,standard conquest,803,exact,198,6,0.0,0,16,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,2,2,43,220,17,1,12,7,2,6
Undead Unrest.h3m,Undead Unrest,AB,,,72,True,2,3,1,acquire an artifact,2182,exact,485,7,5.6,141,163,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,5,0,75,317,30,17,4,3,13,10
Unexpected Inheritance.h3m,Unexpected Inheritance,AB,,,72,True,2,2,1,standard conquest,1917,exact,381,6,1.2,308,102,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,5,0,56,95,37,8,6,10,15,12
Unholy Quest.h3m,Unholy Quest,RoE,,,144,True,1,2,2,defeat a hero,2327,exact,438,6,42.4,255,51,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; special objective; risk/reward encounters,4,8,52,227,8,13,0,7,18,1
Valleys of War.h3m,Valleys of War,AB,,,72,True,4,4,1,standard conquest,3071,exact,479,6,17.3,519,240,two-layer exploration; meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,13,1,75,382,30,10,6,1,10,29
Vial of Life.h3m,Vial of Life,RoE,,,108,False,2,4,1,transport an artifact,3090,exact,416,5,41.5,193,79,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,5,1,57,218,12,11,2,3,11,20
War of the Mighty (Allies).h3m,War of the Mighty (Allies),AB,,,144,True,4,5,2,standard conquest,6944,exact,448,6,1.0,951,1255,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,19,6,188,266,83,6,28,8,31,53
War of the Mighty.h3m,War of the Mighty,AB,,,144,True,4,5,2,standard conquest,6944,exact,448,6,1.0,951,1255,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,19,6,188,266,83,6,28,8,31,53
Warlords.h3m,Warlords!,RoE,,,108,False,8,8,1,standard conquest,2698,exact,223,2,9.5,929,246,risk/reward encounters,8,0,93,257,12,18,0,0,0,4
WarlordsA.h3m,Warlords! (Allies),RoE,,,108,False,8,8,1,standard conquest,2698,exact,223,2,9.5,929,246,scripted storytelling; risk/reward encounters,8,0,93,257,12,18,0,0,0,4
Warmongers.h3m,Warmongers,RoE,,,144,False,3,6,1,standard conquest,4513,exact,642,8,24.8,496,338,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; risk/reward encounters,12,0,116,584,49,29,6,14,16,17
When Dragons Clash.h3m,When Dragons Clash,RoE,,,72,True,2,2,1,flag all dwellings,1813,exact,407,6,2.2,743,266,two-layer exploration; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,6,0,39,214,10,28,2,1,15,13
Wings of War.h3m,Wings of War,RoE,,,72,False,2,5,2,defeat a hero,877,exact,200,6,55.9,28,28,meaningful naval space; quest-gated progression; travel-network routing; scripted storytelling; special objective; risk/reward encounters,5,2,46,132,29,7,2,2,7,12
Xathras Prize.h3m,Xathras's Prize,RoE,,,108,True,6,7,1,build the Grail,3330,exact,627,9,17.9,490,205,two-layer exploration; meaningful naval space; travel-network routing; scripted storytelling; special objective; risk/reward encounters,16,2,128,380,43,18,0,5,20,18
